onset	duration	offset	trial_type	
0.001	13.999	14	baseline	
14.001	14	28.001	bodies	
28.002	14	42.002	hands	
42.003	14	56.003	tools	
56.004	14	70.004	chairs	
70.005	14	84.005	scrambled	
84.006	14	98.006	tools	
98.007	14	112.007	hands	
112.008	14	126.008	bodies	
126.009	14.001	140.01	chairs	
140.011	14	154.011	scrambled	
154.012	14	168.012	hands	
168.013	14	182.013	tools	
182.014	14	196.014	bodies	
196.015	14	210.015	chairs	
210.016	14	224.016	scrambled	
224.017	14	238.017	tools	
238.018	14	252.018	bodies	
252.019	14	266.019	hands	
266.02	14	280.02	chairs	
280.021	14	294.021	scrambled	
294.022	14	308.022	bodies	
308.023	14	322.023	chairs	
322.024	14	336.024	tools	
336.025	14	350.025	hands	
350.026	14	364.026	scrambled	
364.027	14	378.027	bodies	
378.028	14	392.028	tools	
392.029	14	406.029	hands	
406.03	14	420.03	chairs	
420.031	14	434.031	scrambled	
434.032	14	448.032	baseline	
