onset	duration	offset	trial_type	
0.001	13.999	14	baseline	
14.001	14	28.001	bodies	
28.002	14	42.002	hands	
42.003	14	56.003	tools	
56.004	14	70.004	chairs	
70.005	14	84.005	scrambled	
84.006	14	98.006	chairs	
98.007	14	112.007	tools	
112.008	14	126.008	bodies	
126.009	14.001	140.01	hands	
140.011	14	154.011	scrambled	
154.012	14	168.012	hands	
168.013	14	182.013	bodies	
182.014	14	196.014	tools	
196.015	14	210.015	chairs	
210.016	14	224.016	scrambled	
224.017	14	238.017	bodies	
238.018	14	252.018	tools	
252.019	14	266.019	hands	
266.02	14	280.02	chairs	
280.021	14	294.021	scrambled	
294.022	14	308.022	tools	
308.023	14	322.023	bodies	
322.024	14	336.024	chairs	
336.025	14	350.025	hands	
350.026	14	364.026	scrambled	
364.027	14	378.027	chairs	
378.028	14	392.028	bodies	
392.029	14	406.029	tools	
406.03	14	420.03	hands	
420.031	14	434.031	scrambled	
434.032	14	448.032	baseline	
